Internal ID,Item Name,Item Code
85996,Box Auto Double A 75G A11 (500) 2R,2BTD-DA-075-A11-500-003
38424,Box Auto Double A 80G A3 (500),2BTD-DA-080-A03-500-001
82207,Box Auto Double A 80G A3 (500) (KH),2BTD-DA-080-A03-500-002
85993,Box Auto Double A 80G A3 (500) 3R,2BTD-DA-080-A03-500-003
38425,Box Auto Double A 80G A3 (550),2BTD-DA-080-A03-550-001
85991,Box Auto Double A 80G A4 (250) 10R,2BTD-DA-080-A04-250-002
38426,Box Auto Double A 80G A4 (500),2BTD-DA-080-A04-500-001
82210,Box Auto Double A 80G A4 (500) (KH),2BTD-DA-080-A04-500-002
85987,Box Auto Double A 80G A4 (500) (VN),2BTD-DA-080-A04-500-003
85990,Box Auto Double A 80G A4 (500) 3R,2BTD-DA-080-A04-500-004
85992,Box Auto Double A 80G A4 (500) 2R,2BTD-DA-080-A04-500-005
93771,Box Auto Double A 80G A4 (500) (OCPB),2BTD-DA-080-A04-500-006
38427,Box Auto Double A 80G A4 (550),2BTD-DA-080-A04-550-001
38423,Box Auto Double A 80G A11 (500),2BTD-DA-080-A11-500-001
38429,Box Auto Double A 90G A4 (500),2BTD-DA-090-A04-500-001
38428,Box Auto Double A 90G A11 (500) 8R,2BTD-DA-090-A11-500-001
82197,Box Auto Double A 100G A4 (500) 4R,2BTD-DA-100-A04-500-001
38431,Box Auto Double A China 70G A3 (500),2BTD-DC-070-A03-500-001
38432,Box Auto Double A China 70G A3 (550),2BTD-DC-070-A03-550-001
38433,Box Auto Double A China 70G A4 (500),2BTD-DC-070-A04-500-001
38434,Box Auto Double A China 70G A4 (550),2BTD-DC-070-A04-550-001
38435,Box Auto Double A China 80G A3 (500),2BTD-DC-080-A03-500-001
38436,Box Auto Double A China 80G A3 (550),2BTD-DC-080-A03-550-001
38437,Box Auto Double A China 80G A4 (500),2BTD-DC-080-A04-500-001
38438,Box Auto Double A China 80G A4 (550),2BTD-DC-080-A04-550-001
38450,Box Auto Double A Green 80G A4 (500)(D),2BTD-DG-080-A04-500-001
38452,Box Auto Double A Korea 75G A4 (500) 4R,2BTD-DK-075-A04-500-001
38453,Box Auto Double A Korea 80G A4 (500),2BTD-DK-080-A04-500-001
38454,Box Auto Double A Korea 80G A4 (500) 4R,2BTD-DK-080-A04-500-002
38455,Box Auto Double A Korea 80G A4 (550),2BTD-DK-080-A04-550-001
38456,Box Auto Double A (Promotion) 70G A4 (500),2BTD-DY-070-A04-500-001
102187,Box Auto Double A (Promotion) 80G A4 (500),2BTD-DY-080-A04-500-002
38458,Box Auto Double A (Promotion) 90G A4 (500),2BTD-DY-090-A04-500-001
38430,Box Auto Double A (1759) 80G A4 (500),2BTD-DZ-080-A04-500-001
38459,Box Auto EZ Copy Blue 70G A3 (500),2BTD-EZ-075-A03-500-001
38460,Box Auto EZ Copy Blue 70G A4 (500),2BTD-EZ-075-A04-500-001
82201,Box Auto FlagShip 75G A11 (500) 10R,2BTD-FS-075-A11-500-001
38461,Box Auto Global 75G A11 (500) 10R,2BTD-GB-075-A11-500-001
38462,Box Auto Hi-Plus China 75G A3 (500),2BTD-HC-075-A03-500-001
38463,Box Auto Hi-Plus China 75G A4 (500),2BTD-HC-075-A04-500-001
38464,Box Auto Hi-Plus Eng 75G A3 (500),2BTD-HE-075-A03-500-001
38465,Box Auto Hi-Plus Eng 75G A4 (500),2BTD-HE-075-A04-500-001
38466,Box Auto Hi-Plus Korea 75G A3 (500),2BTD-HK-075-A03-500-001
38467,Box Auto Hi-Plus Korea 75G A4 (500),2BTD-HK-075-A04-500-001
38468,Box Auto Link Max 75G A11 (500) 10R,2BTD-LM-075-A11-500-001
85998,Box Auto No Brand A4 (500),2BTD-NB-000-A04-500-001
38469,Box Auto No Brand 75G A11 (500) 10R,2BTD-NB-075-A11-500-001
81663,Box Auto No Brand 80G A4 (500),2BTD-NB-080-A04-500-001
38470,Box Auto OfficeMate 70G A4 (500),2BTD-OF-070-A04-500-001
38471,Box Auto OfficeMate 80G A4 (500),2BTD-OF-080-A04-500-001
80250,Box Auto OK 80G A4 (500),2BTD-OK-080-A04-500-001
38472,Box Auto One 70G A4 (500),2BTD-ON-070-A04-500-001
38473,Box Auto One 80G A4 (500),2BTD-ON-080-A04-500-001
38475,Box Auto Onpoint 75G A11 (500) 10R,2BTD-OP-075-A11-500-001
38476,Box Auto Premier 75G A11 (500) 10R,2BTD-PM-075-A11-500-001
38478,Box Auto Quality 70G A3 (500),2BTD-QA-070-A03-500-001
